"","patent_number","citation_count"
"1","8875973",0
"2","8875970",0
"3","7596408",1
"4","8067024",0
"5","8875974",0
"6","7896874",0
"7","7896870",0
"8","7896871",0
"9","8239166",0
"10","7632296",0
"11","8672988",0
"12","8206346",0
"13","6910084",0
"14","7620220",0
"15","8672981",0
"16","8844365",0
"17","7632298",0
"18","7632299",0
"19","8906012",0
"20","7037266",0
"21","6957457",0
"22","8709093",0
"23","8812129",0
"24","8812128",0
"25","D627065",0
"26","8512318",0
"27","8494626",0
"28","8812124",0
"29","7369946",0
"30","8744601",0
"31","7753843",0
"32","8965536",0
"33","8492484",0
"34","7871417",0
"35","8388876",0
"36","7261734",0
"37","8574219",0
"38","7553290",0
"39","7657298",0
"40","7946866",0
"41","8673853",0
"42","7070577",0
"43","7070576",0
"44","8382792",0
"45","8425504",0
"46","8712492",0
"47","8425500",0
"48","7070579",0
"49","8642062",0
"50","8483788",0
"51","7660615",0
"52","8364267",0
"53","8865189",0
"54","7090862",0
"55","7919910",0
"56","7704997",0
"57","8010207",8
"58","6979326",0
"59","8926680",0
"60","8010203",40
"61","7037688",0
"62","8688469",0
"63","8920357",0
"64","8728138",0
"65","7416555",0
"66","7321837",0
"67","8728134",0
"68","8165651",0
"69","8728137",0
"70","8058433",0
"71","8898888",0
"72","8603134",0
"73","8603135",0
"74","8603137",0
"75","7110813",0
"76","8535372",0
"77","7915411",0
"78","8506565",0
"79","7737581",0
"80","8101064",0
"81","8653919",0
"82","7846095",0
"83","8801781",0
"84","8025694",15
"85","7242978",0
"86","7242979",0
"87","7785336",0
"88","7785337",0
"89","8080810",0
"90","8663272",0
"91","8663274",0
"92","7704227",0
"93","7704226",0
"94","7704229",0
"95","8663278",0
"96","8104125",0
"97","6995971",0
"98","7014810",46
"99","8455088",0
"100","8958615",0
"101","8857645",0
"102","7879213",0
"103","8337878",0
"104","7167747",0
"105","7744615",0
"106","7744616",0
"107","7744617",0
"108","7167743",0
"109","7744611",0
"110","8155750",0
"111","7744619",0
"112","7500986",0
"113","7774043",0
"114","6991096",0
"115","8966981",0
"116","7774049",0
"117","8059386",0
"118","7066935",0
"119","8565847",0
"120","6838091",0
"121","8920826",0
"122","8409273",0
"123","8409270",0
"124","7867283",0
"125","8827904",0
"126","8491458",0
"127","8012119",40
"128","8067409",0
"129","7328707",0
"130","8790920",0
"131","8827901",0
"132","7682745",0
"133","8852263",0
"134","8105520",0
"135","8353856",0
"136","7974706",0
"137","7974704",0
"138","7974703",0
"139","7806848",0
"140","7485123",0
"141","8162974",0
"142","7035684",0
"143","7035688",0
"144","8518002",0
"145","7674238",0
"146","8591540",0
"147","8434345",0
"148","8795255",0
"149","8795254",0
"150","8792971",0
"151","8795252",0
"152","7077821",0
"153","7229461",0
"154","7682563",0
"155","7700739",0
"156","8965534",0
"157","7294143",0
"158","7955346",0
"159","7838806",0
"160","7294145",0
"161","8398616",0
"162","7955348",0
"163","8083730",0
"164","7502646",0
"165","6935549",0
"166","7168165",0
"167","8439869",0
"168","8781598",0
"169","7966131",0
"170","8776792",0
"171","8776790",0
"172","RE43007",0
"173","8781596",0
"174","8781595",0
"175","7661541",0
"176","8882654",0
"177","8882656",0
"178","8057095",0
"179","8886335",0
"180","8886333",0
"181","8886332",0
"182","8196237",0
"183","7129235",0
"184","8750953",0
"185","8679024",0
"186","7421297",0
"187","7563350",0
"188","8948865",0
"189","7134438",0
"190","7553193",0
"191","8486101",0
"192","7103418",0
"193","8948868",0
"194","8948869",0
"195","8100923",0
"196","6928320",0
"197","6928322",0
"198","8517242",0
"199","8565858",0
"200","8052714",0
"201","8517241",0
"202","8052711",0
"203","8246690",0
"204","7220336",0
"205","8241315",0
"206","8784790",0
"207","8652160",0
"208","D555487",0
"209","7731723",0
"210","D629509",0
"211","8241318",0
"212","7318816",0
"213","7318814",0
"214","8440309",0
"215","8585699",0
"216","8644931",0
"217","8644930",0
"218","8644933",0
"219","8644932",0
"220","8602030",0
"221","8644934",0
"222","8644936",0
"223","8815299",0
"224","8709465",0
"225","7815675",0
"226","7672731",0
"227","8202265",0
"228","8802626",0
"229","7815671",0
"230","7815670",0
"231","7815673",0
"232","8909329",0
"233","8672844",0
"234","8701955",0
"235","8979916",0
"236","7416546",0
"237","8453912",0
"238","8454631",0
"239","8668728",0
"240","8036737",0
"241","7104990",0
"242","7635358",0
"243","8449459",0
"244","7286884",0
"245","7064270",0
"246","7959999",0
"247","7286880",0
"248","7286881",0
"249","7286882",0
"250","7728983",0
"251","7205316",0
"252","8545546",0
"253","7031765",0
"254","7597693",0
"255","7597697",0
"256","8915897",0
"257","6852091",0
"258","8933664",0
"259","7582244",0
"260","8497273",0
"261","8542019",0
"262","7108826",0
"263","7447545",0
"264","8731669",0
"265","8731663",0
"266","7390498",0
"267","7766394",0
"268","8855780",0
"269","7935935",0
"270","7001359",17
"271","7001358",28
"272","8706227",0
"273","8706220",0
"274","8706221",0
"275","8706222",0
"276","8706223",0
"277","8706228",0
"278","8706229",0
"279","8216853",0
"280","8278593",0
"281","7244242",0
"282","7540047",0
"283","7025768",18
"284","7623911",0
"285","7623917",0
