,company_name,patent_abstract,patent_assignee,patent_class,patent_number,patent_title,year_applied,year_granted
0,Medtronic,"A tubular suction tool for accessing an anatomic surface or anatomic space and particularly the pericardium to access pericardial space and the epicardial surface of the heart to implant cardiac leads in a minimally invasive manner are disclosed. The suction tool incorporates a suction pad concave wall defining a suction cavity, a plurality of suction ports arrayed about the concave wall, and a suction lumen, to form a bleb of tissue into the suction cavity when suction is applied. The suction cavity extends along one side of the suction pad, so that the suction pad and suction cavity can be applied tangentially against a tissue site. The suction tool can incorporate light emission and video imaging of tissue adjacent the suction pad. A working lumen terminating in a working lumen port into the suction cavity enables introduction of tools, cardiac leads, and other instruments, cells, drugs or materials into or through the tissue bleb drawn into the suction cavity.</p> <endline> ","Medtronic, Inc.",None,06837848,Methods and apparatus for accessing and stabilizing an area of the heart,2003,2005
1,Medtronic,"A cannula (<b>10</b>) receives surgical instruments (<b>120</b>) for performing a surgical procedure on a body (<b>130</b>). The cannula (<b>10</b>) comprises a tube structure (<b>12</b>) defining a passage (<b>16</b>) through which the surgical instruments (<b>120</b>) are inserted into the body (<b>130</b>). The tube structure (<b>12</b>) has a proximal end (<b>20</b>) and a distal end (<b>62</b>). The tube structure (<b>12</b>) includes an expandable portion (<b>40</b>) for enabling an increase in the cross-sectional area of the passage (<b>16</b>) at the distal end (<b>62</b>). The expandable portion (<b>40</b>) of the tube structure (<b>12</b>), when expanded, has a conical configuration.</p> <endline> ",Endius Incorporated,None,06837891,Cannula for receiving surgical instruments,2003,2005
2,Medtronic,"Techniques are described for charging an energy storage device, such as the high-voltage energy storage capacitors of an external defibrillation device, using an average current mode control technique. By controlling the average current in a transformer, energy may be stored rapidly and at controlled energy levels.</p> <endline> ",Medtronic Physio-Control Corp.,None,06839590,Average current mode controlled energy storage in a defibrillator,2001,2005
3,Medtronic,"In a system that provides bi-atrial and/or bi-ventricular pacing, the system adjusts an interval between paces delivered to the atria, and/or an interval between paces delivered to the ventricles, as a function of heart rate. By adjusting the interval between paces as a function of heart rate, the atria and/or ventricles may be activated in a more synchronous and more hemodynamically efficient fashion.</p> <endline> ","Medtronic, Inc.",None,06839592,Cardiac resynchronization with adaptive A1-A2 and/or V1-V2 intervals,2002,2005
4,Medtronic,"A method and apparatus for introducing a stent into a region of a major blood vessel within the human body in a manner which substantially reduces the risk of embolic material escaping to the vessel and causing a blockage at a downstream location. A uniquely designed stent delivery catheter includes a central lumen through which a guide wire travels. The central lumen is provided with a valve means that is operable by the guide wire and when moved into a closed position by withdrawal of the guide wire, functions to prevent the flow of loose debris toward the proximal end of the catheter.</p> <endline> ",None,None,06981984,Stent with combined distal protection device,2002,2006
5,Medtronic,"A centrifugal method, and corresponding system, for processing blood to collect platelet rich plasma. A separation chamber is filled with blood from a fill syringe by rotating the separation chamber at a fill rotation rate and pumping the blood from the fill syringe. A soft spin is used to initially separate red blood cells from platelets by spinning the separation chamber at a soft spin rate. A percentage of the blood is drawn from the separation chamber back into the fill syringe to remove separated red blood cells. A second portion of the separated blood is drawn from the separation chamber until a red blood cell/platelet interface is detected. A hard spin is performed by spinning the separation chamber at a higher rate and connecting tubing is cleared of red blood cells by drawing a predetermined clearing volume. The platelet rich plasma is then collected in the collection syringe.</p> <endline> ","Medtronic, Inc.",None,06982038,Centrifuge system utilizing disposable components and automated processing of blood to collect platelet rich plasma,2003,2006
6,Medtronic,"Embodiments of the invention provide a method and apparatus for a wireless health monitoring system for interactively monitoring a disease or health condition of a patient by connecting a mobile phone to or with a digital camera and/or a medical monitoring device. The health related data or visual information from the camera is transmitted to a server using standard internet protocols and may be integrated with various operating systems for handheld or wireless devices, especially those with enhanced capabilities for handing images and visual data.</p> <endline> ",Q-tec Systems LLC,None,07156809,Method and apparatus for health and disease management combining patient data monitoring with wireless internet connectivity,2005,2007
7,Medtronic,"A helical ablation electrode extends from a distal end of the shaft and includes a first portion extending from a first end winding about a first diameter, a second portion extending from the first portion and winding about a second diameter smaller than the first diameter, and a second end terminating the second portion. The electrode further includes a fluid lumen extending from a location in proximity to the first end of the electrode to a location in proximity to the second end of the electrode and in fluid communication with a fluid delivery lumen of the catheter shaft. An irrigation fluid delivered through the fluid delivery lumen of the catheter shaft, from a fluid port, passes through the fluid lumen of the ablation electrode to cool the electrode.</p> <endline> ","Medtronic, Inc.",None,07156843,Irrigated focal ablation tip,2003,2007
8,Medtronic,"A method and apparatus for creating a virtual electrode to ablate bodily tissue. The apparatus includes an outer tube, a first electrode, an inner tube and a second electrode. The outer tube is fluidly connected to a source of conductive fluid and defines a proximal end and a distal end. The distal end includes an opening for delivering conductive fluid from the outer tube. The first electrode is disposed at the distal end of the outer tube for applying a current to conductive fluid delivered from the outer tube. The inner tube is coaxially received within the outer tube and is connected to a source of conductive fluid. The inner tube defines a proximal end and a distal end, with the distal end forming an opening for delivering conductive fluid from the inner tube. Finally, the second electrode is disposed at the distal end of the inner tube for applying a current to conductive fluid delivered from the inner tube. With this configuration, upon final assembly, the distal end of the outer tube is axially spaced from the distal end of the inner tube such that the first electrode is spaced from the second electrode. As a result, a bi-polar virtual electrode can be established.</p> <endline> ","Medtronic, Inc.",None,07156845,Method and apparatus for creating a bi-polar virtual electrode used for the ablation of tissue,2005,2007
9,Medtronic,"An artificial interbody spinal implant adapted for placement across an intervertebral space formed across the height of a disc space between two adjacent vertebral bodies is disclosed. The implant has an asymmetrical leading end adapted to sit upon the more peripheral areas, such as the apophyseal rim and the apophyseal rim area, of the vertebral end plate region of the vertebral bodies without protruding therefrom. The asymmetrical leading end allows for the safe use of an implant of maximum length for the implantation space into which it is installed. The implant can also include an asymmetric trailing end adapted to sit upon the more peripheral areas of the vertebral end plate region of the vertebral bodies.</p> <endline> ","Warsaw Orthopedic, Inc.",None,07156875,Arcuate artificial hemi-lumbar interbody spinal fusion implant having an asymmetrical leading end,2003,2007
